F5_6,F5_107,F5_54,F5_36,F5_37,F5_39,F5_55,ARPT_NAME,CITY,ST_PR,J5_3,J5_5,J5_6,J5_7,J5_8,J5_10,PRECISION,J5_12,J5_39,J5_14,J5_15,F5_14,F5_179,F5_197,CHRT_IDX,CLNK_IDX
OEPS,AKH,13100,N24041352,E047334390,E002.0,1651,PRINCE SULTAN AB,AL KHARJ,,SAU,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,Y,N,Y,M,-3:00=UTC,OE,N,WGE,49167,53463
OERF,RAH,9800,N29373500,E043292600,E004.0,1474,RAFHA,RAFHA,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,N,N,Y,-3:00=UTC,OE,N,WGE,49182,53476
OERK,RUH,13700,N24574600,E046422900,E003.0,2053,KING KHALED INTL,RIYADH,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,Y,Y,-3:00=UTC,OE,N,WGE,49188,53481
OERM,,10500,N28044400,E048364000,E003.0,13,RAS MISHAB,RAS MISHAB,,SAU,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,Y,N,N,Y,-3:00=UTC,OE,N,WGE,49233,53545
OERR,RAE,10000,N30542400,E041081800,E005.0,1819,ARAR,ARAR,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,N,Y,-3:00=UTC,OE,N,WGE,49240,53550
OERS,RSI,12100,N25374200,E037052000,E004.0,164,RED SEA INTL,HANAK,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,N,Y,-3:00=UTC,OE,N,WGE,49253,53591
OESH,SHW,11900,N17280100,E047071700,E002.0,2382,SHARURAH,SHARURAH,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,N,Y,-3:00=UTC,OE,N,WGE,49258,53595
OESK,AJF,12000,N29470700,E040055900,E004.0,2261,AL JOUF,AL JOUF,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,R,J,-3:00=UTC,OE,N,WGE,49265,53606
OEST,,6800,N22423200,E053170500,E001.0,342,SHABITAH,SHABITAH,,SAU,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:00=UTC,OE,N,WGE,49272,53613
OETB,TUU,10900,N28222300,E036371700,E004.0,2551,PRINCE SULTAN BIN ABDULAZIZ,TABUK,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,Y,J,-3:00=UTC,OE,N,WGE,49275,53615
OETF,TIF,12200,N21290000,E040324000,E003.0,4848,TAIF INTL,TAIF,,SAU,NNNNNNNNNYNNYN,NNNNN,YYNN,Y,N,Y,Y,Y,Y,-3:00=UTC,OE,N,WGE,49285,53629
OETR,TUI,10000,N31414100,E038435500,E005.0,2809,TURAIF,TURAIF,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:00=UTC,OE,N,WGE,49308,53668
OEWD,WAE,10000,N20301500,E045115600,E003.0,2062,WADI AL DAWASIR,WADI AL DAWASIR,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,N,Y,-3:00=UTC,OE,N,WGE,49312,53670
OEWJ,EJH,10000,N26115500,E036283400,E004.0,66,WEJH,WEJH,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,N,Y,-3:00=UTC,OE,N,WGE,49320,53680
OEYN,YNB,10500,N24083900,E038034900,E004.0,44,PRINCE ABDULMOHSIN BIN ABDULAZ,YENBO,,SAU,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,R,Y,-3:00=UTC,OE,N,WGE,49332,53696
OIAA,ABD,10100,N30221600,E048134200,E004.0,8,ABADAN,ABADAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49341,53703
OIAM,MRX,8800,N30333200,E049090200,E004.0,18,MAHSHAHR,BANDAR MAHSHAHR,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,49358,53751
OIAW,AWZ,11100,N31201500,E048453700,E004.0,65,AHWAZ,AHWAZ,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49365,53771
OIBA,AEU,9700,N25523400,E055015400,E002.0,18,ABUMUSA,ABUMUSA ISLAND,,IRN,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,49388,53831
OIBB,BUZ,14600,N28565800,E050494900,E003.0,72,BUSHEHR,BUSHEHR,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49398,53847
OIBK,KIH,11900,N26313900,E053584500,E002.0,99,KISH INTL,KISH ISLAND,,IRN,NNNNNNNNNYNNNN,NNNNN,YYNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49418,53897
OIBL,BDH,8200,N26315300,E054493900,E002.0,75,BANDAR LENGEH,BANDAR LENGEH,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-3:30=UTC,OI,N,WGE,49437,53944
OIBP,PGU,13100,N27224600,E052441600,E003.0,22,PERSIAN GULF,PARS SPECIAL ENERGY ECON,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49454,53977
OIBQ,KHK,7600,N29153700,E050192600,E003.0,29,KHARK,KHARK ISLAND,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49468,54000
OIBS,SXI,8100,N25543000,E054323000,E002.0,26,SIRRI,SIRRI ISLAND,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49490,54046
OIBV,LVP,8800,N26483700,E053212200,E002.0,45,LAVAN,LAVAN ISLAND,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,49498,54056
OICC,KSH,10500,N34205300,E047092400,E004.0,4307,SHAHID ASHRAFI ESFAHANI,KERMANSHAH,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,N,Y,Y,-3:30=UTC,OI,N,WGE,49503,54064
OICI,IIL,10500,N33350800,E046241800,E005.0,4404,ILAM,ILAM,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,N,Y,-3:30=UTC,OI,N,WGE,49533,54110
OICK,KHD,11400,N33261900,E048165000,E004.0,3793,KHORAM ABAD,KHORAM ABAD,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49540,54119
OICS,SDG,9900,N35150300,E047004000,E005.0,4528,SANANDAJ,SANANDAJ,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49549,54129
OIFE,IFH,9800,N32554400,E051334000,E003.0,5256,HESA,ESFAHAN,,IRN,NNNNNNNNNNNNYN,NNNNN,NNNN,,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49555,54138
OIFM,IFN,14400,N32450300,E051514600,E004.0,5058,SHAHID BEHESHTI INTL,ESFAHAN,,IRN,NNNYNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49561,54149
OIFP,,10800,N32371200,E051412500,E003.0,5242,BADR AB,ESFAHAN,,IRN,NNNYNNNNNYNNNN,NNNNN,NNNN,,N,N,N,N,M,-3:30=UTC,OI,Y,WGE,49598,
OIFS,CQD,9800,N32175000,E050503200,E004.0,6723,SHAHRE KORD,SHAHRE KORD,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49599,54236
OIGG,RAS,9500,N37192400,E049370400,E005.0,-0037,SARDAR-E-JANGAL,RASHT,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49617,54267
OIHH,HDM,12400,N34521000,E048330200,E005.0,5771,HAMADAN,HAMADAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49630,54309
OIHR,AJK,12100,N34081300,E049503100,E004.0,5453,ARAK,ARAK,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49642,54325
OIIE,IKA,13700,N35245800,E051090800,E005.0,3305,IMAM KHOMAINI INTL,TEHRAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNYY,,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49650,54335
OIII,THR,13200,N35412000,E051185300,E005.0,3956,MEHRABAD INTL,TEHRAN,,IRN,NNNYNNNNNYNNYN,NNNNN,YYNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49680,54385
OIIP,PYK,12000,N35464700,E050492200,E005.0,4170,PAYAM,KARAJ,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49724,54464
OIKB,BND,12000,N27130700,E056224000,E002.0,22,BANDAR ABBAS INTL,BANDAR ABBAS,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49738,54495
OIKJ,JYR,10800,N28433900,E057401300,E002.0,2661,JIROFT,JIROFT,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49765,54547
OIKK,KER,12600,N30162800,E056570400,E003.0,5732,KERMAN,KERMAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49771,54550
OIKM,BXR,11100,N29050300,E058265900,E002.0,3231,BAM,BAM,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,N,Y,Y,-3:30=UTC,OI,N,WGE,49786,54591
OIKQ,GSM,13800,N26450700,E055535000,E002.0,45,GHESHM,GHESHM ISLAND,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,N,Y,Y,-3:30=UTC,OI,N,WGE,49795,54603
OIKR,RJN,9800,N30175100,E056030300,E003.0,5290,RAFSANJAN,RAFSANJAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49807,54624
OIKY,SYJ,12100,N29330400,E055401800,E003.0,5847,SIRJAN,SIRJAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49816,54636
OIMB,XBJ,12400,N32535300,E059155800,E003.0,4979,BIRJAND,BIRJAND,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49825,54654
OIMJ,RUD,9900,N36253100,E055061500,E005.0,4214,SHAHROUD,SHAHROUD,,IRN,NNNYNNNNNYNNYN,NNNNN,NNNN,,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49836,54675
OIMM,MHD,12800,N36140300,E059384200,E004.0,3266,SHAHID HASHEMI NEJAD INTL,MASHHAD,,IRN,NNNYNNNNNYNNNN,NNNNN,NNNN,,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49840,54681
OIMN,BJB,14300,N37292100,E057182300,E005.0,3567,BOJNORD,BOJNORD,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49880,54757
OIMS,AFZ,10400,N36100700,E057354700,E004.0,3010,SABZEVAR,SABZEVAR,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49891,54774
OIMT,TCX,9800,N33400500,E056533600,E004.0,2251,TABAS,TABAS,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,49900,54783
OINE,KLM,7200,N37223000,E055270700,E005.0,433,KALALEH,KALALEH,,IRN,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,49911,54797
OING,GBT,10800,N36544100,E054235300,E005.0,-0028,GORGAN,GORGAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49913,54798
OINN,NSH,6600,N36394800,E051275300,E005.0,-0061,NOSHAHR,NOSHAHR,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49924,54824
OINR,RZR,7400,N36543300,E050404800,E005.0,-0066,RAMSAR,RAMSAR,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,49929,54832
OINZ,SRY,8600,N36380900,E053113700,E005.0,37,DASHT-E-NAZ,SARI,,IRN,NNNNNNNNNYNNYN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,49940,54856
OISF,FAZ,6300,N28533400,E053432500,E002.0,4293,FASA,FASA,,IRN,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,49949,
OISL,LRR,10300,N27402300,E054231400,E003.0,2643,LAR,LAR,,IRN,NNNNNNNNNYNNYN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49951,54876
OISR,LFM,10000,N27222300,E053111700,E002.0,1336,LAMERD,LAMERD,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,49960,54896
OISS,SYZ,14200,N29322500,E052351900,E003.0,4927,SHAHID DASTGHAIB INTL,SHIRAZ,,IRN,NNNYNNNNNYNNNN,NNNNN,NNNN,,N,Y,N,Y,Y,-3:30=UTC,OI,N,WGE,49967,54904
OISY,YES,10500,N30414900,E051330000,E003.0,5940,YASOUJ,YASOUJ,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,50009,55004
OITK,KHY,9100,N38252000,E044583600,E006.0,3964,KHOY,KHOY,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,50015,55011
OITL,ADU,10800,N38193600,E048252700,E005.0,4319,ARDABIL,ARDABIL,,IRN,NNNNNNNNNYNNYN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,50022,55016
OITM,ACP,9300,N37205300,E046075900,E005.0,4397,SAHAND,MARAGHEH,,IRN,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,50047,55066
OITR,OMH,10600,N37401700,E045040900,E004.0,4342,UROMIYEH,UROMIYEH,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,50051,55069
OITT,TBZ,12300,N38080200,E046140600,E005.0,4449,TABRIZ INTL,TABRIZ,,IRN,NNNYNNNNNYNNYN,NNNNN,NNNN,,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,50070,55116
OITU,IMQ,10300,N39113300,E044553100,E006.0,3169,MAKU,MAKU,,IRN,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,50086,55146
OITZ,JWN,10400,N36462900,E048213300,E005.0,5380,ZANJAN,ZANJAN,,IRN,NNNNNNNNNPNNNN,NNNNN,NNNN,Y,N,N,Y,Y,Y,-3:30=UTC,OI,N,WGE,50091,55150
OIYY,AZD,13400,N31542200,E054163500,E003.0,4054,SHAHID SADOOGHI INTL,YAZD,,IRN,NNNNNNNNNYNNYN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,50100,55167
OIZB,ACZ,9800,N31055400,E061323800,E003.0,1577,ZABOL,ZABOL,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,50124,55229
OIZC,ZBR,12400,N25264000,E060230100,E001.0,24,KONARAK,CHAH BAHAR,,IRN,NNNNNNNNNYNNYN,NNNNN,NNNN,,N,N,Y,Y,M,-3:30=UTC,OI,N,WGE,50133,55247
OIZH,ZAH,13900,N29282400,E060541200,E002.0,4523,ZAHEDAN INTL,ZAHEDAN,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:30=UTC,OI,N,WGE,50146,55286
OIZI,IHR,7600,N27134400,E060431600,E002.0,1983,IRAN SHAHR,IRAN SHAHR,,IRN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,-3:30=UTC,OI,N,WGE,50175,55359
OIZS,,10800,N27250700,E062185800,E002.0,3943,SARAVAN,SARAVAN,,IRN,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-3:30=UTC,OI,N,WGE,50184,55372
OJAI,AMM,12000,N31432686,E035594064,E005.0,2395,QUEEN ALIA INTL,AMMAN,,JOR,NNNNNNNNNYNNNN,NNNNN,NNYY,Y,N,Y,Y,Y,Y,-3:00=UTC,OJ,N,WGE,50190,55379
OJAM,ADJ,10700,N31582173,E035592966,E004.0,2556,MARKA INTL,AMMAN,,JOR,NNNNYNNNNYNNNN,NNNNN,NNYY,Y,N,Y,Y,Y,Y,-3:00=UTC,OJ,N,WGE,50262,55484
OJAQ,AQJ,9800,N29364183,E035010504,E004.0,174,KING HUSSEIN INTL,AQABA,,JOR,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-3:00=UTC,OJ,N,WGE,50292,55536
OJMS,,9800,N31493318,E036465551,E004.0,1720,MUWAFFAQ SALTI AB,AZRAQ,,JOR,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,Y,N,U,M,-3:00=UTC,OJ,Y,WGE,50306,55560
OKAJ,,9800,N28560561,E047473099,E003.0,409,AHMED AL JABER AB,ASH SHUAYEAH,,KWT,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,N,M,-3:30=UTC,OK,N,WGE,50313,55567
OKAS,,9800,N29204827,E047311474,E004.0,472,ALI AL SALEM AB,ALI AL SALEM,,KWT,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,Y,Y,N,M,-3:30=UTC,OK,N,WGE,50318,55569
OKDI,,4200,N29415124,E047260955,E004.0,424,CAMP UDAIRI,UDAIRI,,KWT,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,Y,N,U,M,-3:00=UTC,OK,Y,WGE,50330,
OKKK,KWI,11400,N29133636,E047584783,E003.0,205,KUWAIT INTL,KUWAIT,,KWT,NNNYNNNNNYNNNN,NNNNN,NNYY,Y,N,Y,Y,Y,Y,-3:00=UTC,OK,N,WGE,50334,55578
OLBA,BEY,12400,N33490858,E035292411,E005.0,85,RAFIC HARIRI INTL,BEIRUT,,LBN,NYYPYYYYYYNYYY,YNNNN,NNYY,,N,Y,Y,Y,Y,-2:00=UTC,OL,Y,WGE,50376,55639
OMAA,AUH,13400,N24255900,E054390400,E002.0,83,ZAYED INTL,ABU DHABI,,ARE,NNNNNNNNNYNNNN,NNNNN,NNYY,Y,N,Y,N,Y,Y,-4:00=UTC,OM,N,WGE,50405,55692
OMAD,AZI,10500,N24254200,E054272900,E002.0,18,AL BATEEN EXECUTIVE,ABU DHABI,,ARE,NNNYNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-4:00=UTC,OM,N,WGE,50473,55786
OMAL,AAN,13100,N24154200,E055363300,E002.0,865,AL AIN INTL,AL AIN,,ARE,NNNYNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-4:00=UTC,OM,N,WGE,50491,55827
OMDB,DXB,14500,N25151000,E055215200,E002.0,62,DUBAI INTL,DUBAI,,ARE,NNNYNNNNNYNNNN,NNNNN,YYNN,Y,N,Y,N,Y,Y,-4:00=UTC,OM,N,WGE,50511,55863
OMDW,DWC,14700,N24550600,E055103200,E002.0,171,AL MAKTOUM INTL,DUBAI,,ARE,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-4:00=UTC,OM,N,WGE,50572,55910
OMFJ,FJR,12300,N25064400,E056192700,E002.0,153,FUJAIRAH INTL,FUJAIRAH,,ARE,NNNNNNNNNYNNNN,NNNNN,YYNN,Y,N,Y,Y,Y,Y,-4:00=UTC,OM,N,WGE,50616,55959
OMRK,RKT,12300,N25364800,E055562000,E002.0,94,RAS AL KHAIMAH INTL,RAS AL KHAIMAH,,ARE,NNNNNNNNNYNNNN,NNNNN,YYNN,Y,N,Y,N,Y,Y,-4:00=UTC,OM,N,WGE,50636,55992
OMSJ,SHJ,13300,N25194500,E055305800,E002.0,118,SHARJAH INTL,SHARJAH,,ARE,NNNYNNNNNYNNNN,NNNNN,YYNN,Y,N,Y,N,Y,Y,-4:00=UTC,OM,N,WGE,50654,56029
OODQ,DQM,13100,N19300005,E057383419,E001.0,383,DUQM,DUQM,,OMN,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-4:00=UTC,OO,N,WGE,50681,56063
OOFD,FAU,8300,N22211588,E056290534,E002.0,565,FAHUD,FAHUD,,OMN,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,Y,-4:00=UTC,OO,N,WGE,50688,56073
OOGB,RNM,8300,N21223705,E057032349,E001.0,442,QARN ALAM,QARN ALAM,,OMN,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-4:00=UTC,OO,N,WGE,50696,56075
OOMS,MCT,13300,N23360072,E058170096,E001.0,49,MUSCAT INTL,MUSCAT,,OMN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-4:00=UTC,OO,N,WGE,50703,56077
OOMX,OMM,8400,N18082215,E055104324,E001.0,915,MARMUL,MARMUL,,OMN,NNNNNNNNNYNNNN,NNNNN,NNNN,,N,N,N,N,Y,-4:00=UTC,OO,N,WGE,50740,56147
OOSA,SLL,13100,N17021942,E054052867,E001.0,90,SALALAH,SALALAH,,OMN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-4:00=UTC,OO,N,WGE,50747,56149
OOSH,OHS,13100,N24230998,E056373223,E002.0,144,SUHAR,SUHAR,,OMN,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-4:00=UTC,OO,N,WGE,50776,56204
OOTH,TTH,13100,N17395760,E054012880,E000.5,1526,THUMRAIT AB,THUMRAIT,,OMN,NNNNNNNNNYNNNN,NYNNY,NNNN,,Y,N,Y,N,M,-4:00=UTC,OO,N,WGE,50786,
OPBW,BHV,9300,N29204943,E071424106,E002.0,396,BAHAWALPUR INTL,BAHAWALPUR,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-5:00=UTC,OP,N,WGE,50787,56214
OPDB,DBA,6600,N28523006,E064241660,E002.0,2777,DALBANDIN,DALBANDIN,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-5:00=UTC,OP,N,WGE,50794,56218
OPDG,DEA,6400,N29574001,E070290814,E002.0,492,FAROOQ AHMAD KHAN LEGHARI INTL,DERA GHAZI KHAN,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-5:00=UTC,OP,N,WGE,50801,56220
OPDI,DSK,5000,N31543392,E070534790,E002.0,594,DERA ISMAIL KHAN,DERA ISMAIL KHAN,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-5:00=UTC,OP,N,WGE,50808,56224
OPFA,LYP,9300,N31215491,E072594397,E002.0,590,FAISALABAD INTL,FAISALABAD,,PAK,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-5:00=UTC,OP,N,WGE,50815,56230
OPGD,GWD,6500,N25135647,E062193890,E001.0,32,GWADAR INTL,GWADAR,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-5:00=UTC,OP,N,WGE,50834,56245
OPIS,ISB,12000,N33325670,E072493234,E003.0,1761,ISLAMABAD INTL,ISLAMABAD,,PAK,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-5:00=UTC,OP,N,WGE,50845,56255
OPKC,KHI,11100,N24543081,E067094594,E001.0,100,JINNAH INTL,KARACHI,,PAK,NNNNNNNNNYNNNN,YNNNN,NNYY,Y,N,Y,N,Y,Y,-5:00=UTC,OP,N,WGE,50887,56291
OPKD,HDD,6900,N25190530,E068215852,E001.0,145,HYDERABAD,HYDERABAD,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-5:00=UTC,OP,N,WGE,50922,56335
OPKW,KCF,7800,N27122300,E069092300,E001.0,250,KADANWARI,KADANWARI,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,N,P,-5:00=UTC,OP,N,WGE,50925,
OPLA,LHE,11000,N31311762,E074241647,E002.0,714,ALLAMA IQBAL INTL,LAHORE,,PAK,NNNNNNNNNYNNNN,NNNNN,YYNN,Y,N,Y,N,Y,Y,-5:00=UTC,OP,N,WGE,50928,56337
OPMJ,MJD,6400,N27200656,E068083499,E001.0,154,MOENJODARO,MOENJODARO,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-5:00=UTC,OP,N,WGE,50972,56382
OPMT,MUX,10500,N30121160,E071250880,E001.0,403,MULTAN INTL,MULTAN,,PAK,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-5:00=UTC,OP,N,WGE,50979,56386
OPNH,WNS,8900,N26130999,E068232419,E001.0,95,NAWABSHAH INTL,NAWABSHAH,,PAK,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-5:00=UTC,OP,N,WGE,50998,56399
OPPG,PJG,5000,N26571636,E064075706,E002.0,3289,PANJGUR,PANJGUR,,PAK,NNNNNNNNNNNNNN,NNNNN,NNNN,Y,N,N,N,N,Y,-5:00=UTC,OP,N,WGE,51010,56407
OPPI,PSI,8900,N25172457,E063203992,E001.0,33,PASNI,PASNI,,PAK,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,N,N,Y,Y,-5:00=UTC,OP,N,WGE,51016,56414
OPPS,PEW,8900,N33593809,E071305250,E002.0,1211,BACHA KHAN INTL,PESHAWAR,,PAK,NNNNNNNNNYNNNN,NNNNN,NNNN,Y,N,Y,N,Y,Y,-5:00=UTC,OP,N,WGE,51019,56416
OPQT,UET,11900,N30150772,E066561925,E002.0,5268,SAMUNGLI INTL,QUETTA,,PAK,NNNNNNNYNYNNNN,NNNNN,NNNN,Y,N,Y,Y,Y,Y,-5:00=UTC,OP,N,WGE,51038,56439
